city,Country
Krakow,Poland
Turin,Italy
Krakow,Poland
Sangareddy,India
Passau,Germany
Rennes,France
Darmstadt,Germany
Changsha,United States
Los Angeles,United States
London,United Kingdom
Gdańsk,Poland
Warsaw,Poland
Atlanta,United States
Santiago de Compostela,Spain
Innsbruck,Austria
Barcelona,Spain
Manchester,United Kingdom
Santander,Spain
Grenoble,France
São Paulo,Portugal
Warsaw,Poland
Warsaw,Poland
Porto,Portugal
Marina del Rey,United States
Thuwal,Saudi Arabia
Atlanta,United States
Amsterdam,Poland
Grenoble,France
Thuwal,Saudi Arabia
Santa Maria,Brazil
Barcelona,Italy
Krakow,Poland
Białystok,Poland
Santiago,Spain
Barcelona,Spain
Karlsruhe,Germany
Thuwal,United States
Berlin,Germany
Los Angeles,United States
Lyon,France
Krakow,Poland
Lyon,France
Thuwal,Saudi Arabia
Santo André,Brazil
Toronto,Canada
Campinas,Brazil
Rennes,France
Warsaw,Poland
Glasgow,United Kingdom
La Plata,Argentina
Porto Alegre,Brazil
Aachen,Germany
Lublin,Poland
Nałęczów,Poland
Kraków,Poland
Kraków,Poland
Cookeville,United States
Istanbul,Turkey
Tel Aviv,Israel
Aachen,Germany
Kraków,Poland
Częstochowa,Poland
Miskolc,Hungary
Potsdam,Germany
Tel Aviv,Israel
Tokyo,Japan
Jülich,Germany
Krakow,Poland
Karlsruhe,Germany
Valencia,Spain
Karlsruhe,Germany
Częstochowa,Poland
Bordeaux,France
Lleida,Spain
Dublin,Ireland
Kraków,Poland
Oak Ridge,Germany
Zurich,Switzerland
Turin,Italy
Grenoble,Germany
Napoli,Italy
Hamburg,Germany
Eindhoven,Netherlands
Lisbon,Portugal
Lublin,Poland
Warsaw,Poland
Jülich,Germany
Gif-sur-Yvette,France
Hagen,Germany
Erlangen,Germany
Reykjavik,Iceland
Kista,Sweden
Reykjavík,Iceland
Reykjavík,Iceland
Reykjavík,Iceland
Zurich,United Kingdom
Warsaw,Poland
Suwon,South Korea
Jülich,Germany
Reykjavík,Iceland
Barcelona,Spain
Budapest,Hungary
Warsaw,Poland
Reykjavík,Iceland
Reykjavík,Iceland
Trondheim,Norway
Reykjavík,Iceland
Reykjavík,Iceland
GUJAN MESTRAS,France
Bloomington,United States
Reykjavík,Iceland
Warsaw,Poland
Reykjavík,Iceland
Reykjavík,Iceland
Barcelona,Spain
Istanbul,Turkey
Reykjavík,Iceland
Reykjavík,Iceland
Reykjavík,Iceland
Warsaw,Poland
Depok,Saudi Arabia
Beijing,United States
Suwon,South Korea
Kraków,Poland
Berlin,Germany
Reykjavík,Iceland
Prague,Czechia
Warsaw,Poland
Reykjavík,Iceland
Gilching,Germany
Warsaw,Poland
Krakow,Poland
Reykjavík,Iceland
Reykjavík,Iceland
Reykjavík,Germany
Warsaw,Poland
Reykjavík,Iceland
Reykjavík,Iceland
Zurich,Switzerland
Wrocław,Poland
Aachen,Germany
Orsay,United Kingdom
Darmstadt,Germany
Dortmund,Germany
Darmstadt,Germany
Budapest,Hungary
Bochum,Germany
Reykjavík,Iceland
Warsaw,Poland
Reykjavík,Iceland
Porto,Portugal
Ankara,Turkey
Reykjavík,Iceland
Camerino,Italy
Turin,Italy
München,Poland
Gif-sur-Yvette,France
Krakow,Poland
Turin,Italy
Milano,Italy
Nijmegen,Netherlands
Turin,Italy
Stirling,United Kingdom
Flensburg,Germany
São Paulo,Brazil
Singapore,Singapore
Bristol,United Kingdom
Nomi,Japan
Singapore,Indonesia
Grenoble,France
Warsaw,Poland
Poznań,Poland
Talence,France
Cambridge,United States
Linköping,Sweden
Caparica,Portugal
Berlin,Germany
Denver,United States
Bordeaux,France
Bangalore,India
Waterloo,Canada
Stockholm,India
Washington,United States
Boston,United States
Lisbon,Portugal
Rennes,France
Mainz,Germany
Jülich,Germany
Karlstad,Sweden
Talence,France
Lisbon,Portugal
Beijing,United States
Magdeburg,Germany
Catanzaro,Italy
Warsaw,Poland
Suwon,South Korea
Heraklion,Greece
Heraklion,Greece
Heraklion,Greece
Seoul,South Korea
Toruń,Poland
Suwon,South Korea
Naples,Italy
Heraklion,Greece
Livermore,United States
Paris,France
Cartago,Costa Rica
San José,Costa Rica
Darmstadt,Germany
San José,Costa Rica
Melbourne,Australia
Oak Ridge,United States
Oak Ridge,United States
Murfreesboro,United States
Cookeville,United States
Darmstadt,Germany
Amsterdam,Germany
Turin,Italy
Waterloo,Canada
Hamburg,Germany
Naples,Italy
