Country,minutes_total_participation
Poland,268
Italy,55
Poland,726
India,60
Germany,120
France,3
Germany,46
United States of America,5
United States of America,73
United Kingdom,430
Poland,136
Poland,126
United States of America,86
Spain,877
Austria,1010
Spain,296
United Kingdom,105
Spain,133
France,7
Portugal,285
Poland,940
Poland,2689
Portugal,183
United States of America,56
Saudi Arabia,437
United States of America,282
Poland,1619
France,263
Saudi Arabia,227
Brazil,45
Italy,109
Poland,1983
Poland,400
Spain,59
Spain,150
Saudi Arabia,10
Germany,168
United States of America,317
Germany,1
United States of America,65
France,95
Poland,680
France,393
Saudi Arabia,768
Brazil,76
Canada,105
Brazil,1
France,58
United Kingdom,127
United Kingdom,170
Argentina,216
Brazil,287
Germany,292
Poland,226
Poland,460
Germany,6
Poland,241
Poland,637
United States of America,214
Turkey,361
Israel,226
Germany,375
Poland,1
Poland,36
Hungary,96
Germany,140
Israel,602
Japan,116
Germany,56
Poland,132
Germany,50
Spain,455
Germany,157
Poland,533
France,265
Spain,181
Ireland,496
Poland,365
Germany,47
Switzerland,352
Italy,238
Germany,49
Italy,564
Germany,294
Netherlands,104
Portugal,175
Poland,123
Poland,371
Germany,19
France,126
Germany,200
Germany,152
Germany,18
Turkey,43
Iceland,282
United States of America,10
United Kingdom,156
Iceland,1
Iceland,2
Iceland,139
France,135
United Kingdom,123
Poland,117
Poland,76
Turkey,1
Saudi Arabia,2
Spain,46
"""Korea, Republic of""",303
Germany,173
Iceland,137
Spain,143
Poland,1
Hungary,22
Poland,89
Iceland,150
Iceland,96
Iceland,225
Norway,126
Iceland,222
Iceland,97
France,28
United States of America,85
Iceland,169
United Kingdom,5
Poland,95
Iceland,102
United States of America,1
Iceland,147
Spain,361
Turkey,405
Iceland,168
Iceland,84
Iceland,142
Poland,113
Saudi Arabia,1
United States of America,63
"""Korea, Republic of""",84
Poland,110
United States of America,69
Germany,85
Iceland,1
France,194
Iceland,2
Czechia,88
United Kingdom,2
Iceland,144
Saudi Arabia,42
Germany,38
Poland,651
Poland,283
Iceland,152
Iceland,161
Germany,13
Poland,115
United States of America,46
Iceland,74
Iceland,148
Turkey,66
Switzerland,113
Poland,385
Germany,236
United Kingdom,250
Germany,84
Germany,138
Germany,84
Hungary,3
Germany,80
Poland,661
Iceland,135
Poland,250
Iceland,186
Portugal,1
Turkey,2
Iceland,121
Italy,237
Italy,253
Poland,241
France,108
Poland,385
Italy,217
Poland,989
Italy,85
Netherlands,221
Italy,240
United Kingdom,253
Germany,235
Brazil,73
Singapore,44
United Kingdom,119
Japan,55
Indonesia,94
France,202
Poland,189
Poland,377
France,65
United States of America,155
Sweden,100
India,1
Portugal,1
France,86
Germany,1
United States of America,70
France,104
India,2
India,7
India,2
Canada,96
India,98
United States of America,296
United States of America,60
Portugal,75
France,20
Netherlands,60
Poland,10
Germany,98
Netherlands,65
Sweden,2
France,94
Portugal,70
United States of America,125
Germany,72
Italy,191
Poland,127
Poland,110
"""Korea, Republic of""",96
Greece,105
France,70
Greece,15
Greece,16
"""Korea, Republic of""",247
Poland,94
"""Korea, Republic of""",81
Spain,9
Italy,209
Greece,88
United States of America,183
France,167
China,55
Costa Rica,146
Costa Rica,153
Germany,121
Costa Rica,59
Australia,2
Greece,230
United States of America,221
United States of America,207
Costa Rica,78
United States of America,172
United States of America,5
Germany,123
Germany,91
Poland,773
Norway,41
Poland,2
Poland,394
Italy,105
Poland,378
Poland,390
Canada,27
Germany,33
Poland,79
Italy,132
Germany,4
Italy,34
Italy,60
Spain,65
Hungary,5
Spain,30
Poland,12
Poland,442
Poland,107
