Topic,Webinar ID,Actual Start Time,Actual Duration (minutes),# Registered,# Cancelled,Unique Viewers,Total Users,Max Concurrent Views
Euro-Par 2020: Room A,999 4787 9910,"Aug 26, 2020 1:29 PM",299,67,0,65,122,0
Euro-Par 2020: Room A,999 4787 9910,"Aug 25, 2020 8:23 AM",527,63,0,58,163,23
Euro-Par 2020: Room A,999 4787 9910,"Aug 27, 2020 12:33 PM",394,141,0,138,253,0
Euro-Par 2020: Room B,948 7032 8722,"Aug 24, 2020 8:27 AM",258,24,0,24,69,0
Euro-Par 2020: Room A,999 4787 9910,"Aug 28, 2020 12:24 PM",363,43,0,43,96,0
Euro-Par 2020: Room B,948 7032 8722,"Aug 26, 2020 1:31 PM",233,42,0,41,76,0
Euro-Par 2020: Room B,948 7032 8722,"Aug 27, 2020 2:06 PM",315,36,0,32,72,0
Euro-Par 2020 Rehearsal: Track A,912 2849 8739,"Aug 19, 2020 11:56 AM",135,54,0,51,145,0
Euro-Par 2020: Room A,999 4787 9910,"Aug 24, 2020 8:29 AM",447,61,0,54,154,0
Euro-Par 2020: Room B,948 7032 8722,"Aug 28, 2020 2:33 PM",217,21,0,20,45,0
Euro-Par 2020: Room B,948 7032 8722,"Aug 25, 2020 1:01 PM",241,25,0,25,65,0
